"PROBEID","SYMBOL","GENENAME","UNIPROT"
"8352-26","SIGLEC12","sialic acid binding Ig like lectin 12","Q96PQ1"
"8353-15","SCN2B","sodium voltage-gated channel beta subunit 2","O60939"
"8355-80","ISM1","isthmin 1","B1AKI9"
"8356-88","OXT","oxytocin/neurophysin I prepropeptide","P01178"
"8357-43","SULT4A1","sulfotransferase family 4A member 1","B2R7N3"
"8358-30","PRDX3","peroxiredoxin 3","P30048"
"8359-149","STK17B","serine/threonine kinase 17b","O94768"
"8360-169","NCR1","natural cytotoxicity triggering receptor 1","A0A0A0MTU0"
"8363-18","ELAPOR2","endosome-lysosome associated apoptosis and autophagy regulator family member 2","A4D1C9"
"8364-74","UST","uronyl 2-sulfotransferase","A8KA57"
"8366-19","C1orf115","chromosome 1 open reading frame 115","B3KRN3"
"8367-142","VSIG1","V-set and immunoglobulin domain containing 1","A8K8V7"
"8368-102","TNFRSF1B","TNF receptor superfamily member 1B","B1AJZ3"
"8369-102","DAG1","dystroglycan 1","A8K6M7"
"8372-29","CDHR1","cadherin related family member 1","F1T0L2"
"8374-5","NGFR","nerve growth factor receptor","B2R961"
"8376-25","LHB","luteinizing hormone subunit beta","A0A0F7RQE6"
"8377-87",NA,NA,NA
"8378-3","LDOC1","LDOC1 regulator of NFKB signaling","O95751"
"8380-244","DLK1","delta like non-canonical Notch ligand 1","A8K019"
"8381-18",NA,NA,NA
"8382-47","MAPKAPK5","MAPK activated protein kinase 5","R4GN33"
"8383-20","FREY1","Frey regulator of sperm-oocyte fusion 1","C9JXX5"
"8385-248","HGFAC","HGF activator","D6RAR4"
"8386-11","PATE1","prostate and testis expressed 1","Q3KNX2"
"8388-24","SPAST","spastin","A0A2R8Y481"
"8389-8","LRRC74A","leucine rich repeat containing 74A","A0A8I5KUZ3"
"8390-25","COX7A1","cytochrome c oxidase subunit 7A1","H6SG12"
"8391-12","DEFB115","defensin beta 115","Q30KQ5"
"8393-121","CTSF","cathepsin F","A0A7I2V2K3"
"8394-56","RNASE2","ribonuclease A family member 2","P10153"
"8396-42","FAAH2","fatty acid amide hydrolase 2","B2C6G4"
"8397-147","QSOX2","quiescin sulfhydryl oxidase 2","A2CEE0"
"8398-277","RARRES1","retinoic acid receptor responder 1","P49788"
"8399-6","STK17B","serine/threonine kinase 17b","O94768"
"8400-74","GRP","gastrin releasing peptide","A0A140VJM7"
"8402-22","CYTL1","cytokine like 1","Q9NRR1"
"8403-18","FASN","fatty acid synthase","A0A0U1RQF0"
"8404-102","BOLA2","bolA family member 2","A1L454"
"8405-108","ADAM10","ADAM metallopeptidase domain 10","B4DU28"
"8406-17","IGF1","insulin like growth factor 1","Q59GC5"
"8407-84","NOTCH2","notch receptor 2","Q04721"
"8409-3","RSPO2","R-spondin 2","B3KVP3"
"8418-30","CTNNB1","catenin beta 1","A0A2R8YCH5"
"8424-269","CTNNB1","catenin beta 1","A0A2R8YCH5"
"8427-118","RSPO3","R-spondin 3","B2RC27"
"8428-102","NTM","neurotrimin","B7Z9J9"
"8429-16","AXIN2","axin 2","E7ES00"
"8443-9",NA,NA,NA
"8444-3",NA,NA,NA
"8444-46",NA,NA,NA
"8445-184",NA,NA,NA
"8445-54",NA,NA,NA
"8446-4","ADCYAP1","adenylate cyclase activating polypeptide 1","B2R7N4"
"8447-11","GHRL","ghrelin and obestatin prepropeptide","Q9UBU3"
"8449-103",NA,NA,NA
"8449-124",NA,NA,NA
"8450-36","ADCYAP1","adenylate cyclase activating polypeptide 1","B2R7N4"
"8458-111","SNCA","synuclein alpha","A0A669KBH5"
"8458-16","SNCA","synuclein alpha","A0A669KBH5"
"8459-10","BMP6","bone morphogenetic protein 6","B4DUF7"
"8462-18","GH1","growth hormone 1","A6NEF6"
"8463-2","SOD3","superoxide dismutase 3","A0A140VJU8"
"8464-31","RSPO4","R-spondin 4","A2A2I6"
"8465-52","CTSH","cathepsin H","E9PKT6"
"8467-9","INHBA","inhibin subunit beta A","A4D1W7"
"8468-19","KLK3","kallikrein related peptidase 3","M0R294"
"8469-41","IGFBP2","insulin like growth factor binding protein 2","P18065"
"8470-213","RNASEH1","ribonuclease H1","B3KUD4"
"8471-53",NA,NA,NA
"8474-6","ROR1","receptor tyrosine kinase like orphan receptor 1","Q01973"
"8475-15","MMP7","matrix metallopeptidase 7","P09237"
"8476-11","CHGA","chromogranin A","B2R9E9"
"8479-4","MMP10","matrix metallopeptidase 10","B2R9X9"
"8480-29","EFEMP1","EGF containing fibulin extracellular matrix protein 1","A0A0S2Z4F1"
"8481-26",NA,NA,NA
"8481-44",NA,NA,NA
"8482-39",NA,NA,NA
"8483-5",NA,NA,NA
"8484-24","LEP","leptin","A4D0Y8"
"8485-7","KEAP1","kelch like ECH associated protein 1","B3KPD5"
"8488-33","ITGB3","integrin subunit beta 3","A0A5E4DMZ9"
"8518-55",NA,NA,NA
"8520-8","ADAM30","ADAM metallopeptidase domain 30","A8K8W8"
"8528-74","ISLR2","immunoglobulin superfamily containing leucine rich repeat 2","A8K352"
"8529-1","TNFRSF10B","TNF receptor superfamily member 10b","O14720"
"8535-102","DMKN","dermokine","M0R1M0"
"8545-14","C17orf78","chromosome 17 open reading frame 78","Q8N4C9"
"8556-5","RETREG1","reticulophagy regulator 1","A0A804HKW5"
"8565-160","PLVAP","plasmalemma vesicle associated protein","Q86VP0"
"8569-147","ARL8B","ARF like GTPase 8B","B2R7U5"
"8578-45",NA,NA,NA
"8587-21","SPINK14","serine peptidase inhibitor Kazal type 14 (putative)","M1EY23"
"8589-13","CDCP1","CUB domain containing protein 1","Q49UB4"
"8595-75",NA,NA,NA
"8597-1","TMEM9","transmembrane protein 9","B1ALM6"
"8601-167","LRP1","LDL receptor related protein 1","Q07954"
"8606-39","GPNMB","glycoprotein nmb","A4D155"
"8613-97",NA,NA,NA
"8619-12",NA,NA,NA
"8620-56","KLK14","kallikrein related peptidase 14","A0A1R3UHJ7"
"8624-16","UNC5D","unc-5 netrin receptor D","C9J2B6"
"8631-13","ERMAP","erythroblast membrane associated protein (Scianna blood group)","A0A1C9HIH9"
"8633-18","RNF128","ring finger protein 128","Q8TEB7"
"8634-187",NA,NA,NA
"8635-283","ZPBP","zona pellucida binding protein","Q9BS86"
"8644-46","CTSH","cathepsin H","E9PKT6"
"8645-257","PEX14","peroxisomal biogenesis factor 14","B2R7N1"
"8646-61","LRRTM4","leucine rich repeat transmembrane neuronal 4","B3KV11"
"8653-132","DNAJC4","DnaJ heat shock protein family (Hsp40) member C4","J3KNJ8"
"8654-13","ADAM10","ADAM metallopeptidase domain 10","B4DU28"
"8659-68","MPIG6B","megakaryocyte and platelet inhibitory receptor G6b","A0A140T9L8"
"8660-33","OLFML3","olfactomedin like 3","Q9NRN5"
"8660-5","OLFML3","olfactomedin like 3","Q9NRN5"
"8664-36","PKDCC","protein kinase domain containing, cytoplasmic","D6W5A0"
"8667-42",NA,NA,NA
"8671-378","TRAPPC5","trafficking protein particle complex subunit 5","A8K7I6"
"8675-79",NA,NA,NA
"8681-93","PGRMC2","progesterone receptor membrane component 2","O15173"
"8686-342","HIKESHI","heat shock protein nuclear import factor hikeshi","E9PPG8"
"8687-26","TMEM106B","transmembrane protein 106B","A0A994J4M3"
"8690-25","CAV3","caveolin 3","A0A1I9UVK8"
"8696-15","GAL3ST1","galactose-3-O-sulfotransferase 1","B2R7S4"
"8697-38","GPC1","glypican 1","A0A384NPH9"
"8699-43","CRIM1","cysteine rich transmembrane BMP regulator 1","Q2M2G4"
"8700-325","GALNT11","polypeptide N-acetylgalactosaminyltransferase 11","B7Z5G5"
"8702-42","OSCAR","osteoclast associated Ig-like receptor","B7WNS2"
"8748-45","CD74","CD74 molecule","H0YBZ8"
"8749-194","CD1D","CD1d molecule","A0A669KB34"
"8750-46","VCL","vinculin","A0A384NYN5"
"8752-6",NA,NA,NA
"8754-5","NMU","neuromedin U","A0A0B4J202"
"8755-202",NA,NA,NA
"8756-41","KCNE5","potassium voltage-gated channel subfamily E regulatory subunit 5","Q53FI0"
"8758-2","PCDHA7","protocadherin alpha 7","O75282"
"8759-29","A4GALT","alpha 1,4-galactosyltransferase (P1PK blood group)","A0A0S2Z5J1"
"8760-10","DCUN1D5","defective in cullin neddylation 1 domain containing 5","B4DP84"
"8761-7",NA,NA,NA
"8762-38","CD70","CD70 molecule","A0A0U5JA32"
"8766-29","LILRA5","leukocyte immunoglobulin like receptor A5","A0A0U4ARJ3"
"8767-44","ECE1","endothelin converting enzyme 1","B4DKB2"
"8768-4","BCL10","BCL10 immune signaling adaptor","A0A087WWW9"
"8769-30",NA,NA,NA
"8770-136",NA,NA,NA
"8772-5","EFNB2","ephrin B2","P52799"
"8773-172","EMILIN3","elastin microfibril interfacer 3","Q495S5"
"8775-61","FAM24B","family with sequence similarity 24 member B","Q5JPG1"
"8776-10","ERLIN1","ER lipid raft associated 1","B0QZ42"
"8777-5",NA,NA,NA
"8778-3","NOG","noggin","B2RA81"
"8780-2","PCDH10","protocadherin 10","Q14DV7"
"8783-216",NA,NA,NA
"8784-7","ABRAXAS1","abraxas 1, BRCA1 A complex subunit","D6REL5"
"8785-1","ARMC5","armadillo repeat containing 5","B4DH27"
"8786-6","FAM171B","family with sequence similarity 171 member B","A8K122"
"8787-21",NA,NA,NA
"8790-6","ARSA","arylsulfatase A","A0A0C4DFZ2"
"8791-151","CA5A","carbonic anhydrase 5A","A0A3B3IRX9"
"8792-17",NA,NA,NA
"8793-13",NA,NA,NA
"8794-13","DPEP1","dipeptidase 1","A0A140VJI3"
"8795-48","TFRC","transferrin receptor","A8K6Q8"
"8800-14","TTC17","tetratricopeptide repeat domain 17","Q9NV73"
"8802-24",NA,NA,NA
"8803-61","NECTIN1","nectin cell adhesion molecule 1","O75465"
"8804-39","COL20A1","collagen type XX alpha 1 chain","Q4VXQ4"
"8806-18",NA,NA,NA
"8807-13","SNX1","sorting nexin 1","Q53GY8"
"8808-90",NA,NA,NA
"8810-26","HEPACAM","hepatic and glial cell adhesion molecule","A0A994J4I1"
"8811-24","BAMBI","BMP and activin membrane bound inhibitor","Q13145"
"8813-160","TXN","thioredoxin","P10599"
"8814-33","PSAPL1","prosaposin like 1","A0A184"
"8815-1","OLFML1","olfactomedin like 1","B4DP03"
"8817-29","CENPV","centromere protein V","B2RPK2"
"8818-13","IFNGR2","interferon gamma receptor 2","A0A0G2JLD7"
"8819-3","IGFBP2","insulin like growth factor binding protein 2","P18065"
"8820-2",NA,NA,NA
"8822-163",NA,NA,NA
"8824-2",NA,NA,NA
"8825-4","PILRA","paired immunoglobin like type 2 receptor alpha","Q8NHI1"
"8828-21","ESRP1","epithelial splicing regulatory protein 1","Q6NXG1"
"8830-29","ABRAXAS2","abraxas 2, BRISC complex subunit","B4DKR2"
"8832-55","BST2","bone marrow stromal cell antigen 2","A0A024R7H5"
"8833-20","TNFSF10","TNF superfamily member 10","P50591"
"8834-58","CANX","calnexin","A0A7P0T840"
"8837-8","MFAP3L","microfibril associated protein 3 like","O75121"
"8838-10","GOLM2","golgi membrane protein 2","A8K4R1"
"8839-4","MTX2","metaxin 2","B7Z9F3"
"8840-61","C1S","complement C1s","F8WCZ6"
"8841-65","CILP2","cartilage intermediate layer protein 2","B2RAJ0"
"8842-16","GRAMD1C","GRAM domain containing 1C","E9PHT3"
"8843-34","MYRF","myelin regulatory factor","A0A6Q8PHM1"
"8845-2","ADAMTS3","ADAM metallopeptidase with thrombospondin type 1 motif 3","A1L3U9"
"8850-5","PLA2G2C","phospholipase A2 group IIC","J3KMZ3"
"8851-42","FAM171B","family with sequence similarity 171 member B","A8K122"
"8852-10","SUN3","Sad1 and UNC84 domain containing 3","A4D2F3"
"8853-2","CLEC4A","C-type lectin domain family 4 member A","Q17R69"
"8854-59","RRM2B","ribonucleotide reductase regulatory TP53 inducible subunit M2B","H0YAV1"
"8858-21","BATF3","basic leucine zipper ATF-like transcription factor 3","Q9NR55"
"8859-51","CA11","carbonic anhydrase 11","O60596"
"8863-3","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","A0A8V8TLF7"
"8864-59","CENPW","centromere protein W","A6NIR0"
"8866-53","QPCTL","glutaminyl-peptide cyclotransferase like","Q9NXS2"
"8867-18","PAEP","progestagen associated endometrial protein","B4E3C0"
"8868-4",NA,NA,NA
"8869-5","BTN2A1","butyrophilin subfamily 2 member A1","Q7KYR7"
"8870-38","NPM1","nucleophosmin 1","A0A140VJQ2"
"8871-14","NUDC","nuclear distribution C, dynein complex regulator","Q5QP31"
"8872-1","SEC61G","SEC61 translocon subunit gamma","B2R4J0"
"8874-53","CLN5","CLN5 intracellular trafficking protein","A0A087WZY0"
"8876-51","NRXN2","neurexin 2","A0A994J4N8"
"8877-22","EVA1C","eva-1 homolog C","B5MC74"
"8878-48","YTHDC1","YTH N6-methyladenosine RNA binding protein C1","Q4W5Q3"
"8882-1","ADAM17","ADAM metallopeptidase domain 17","Q53RS1"
"8885-6","CACNA2D3","calcium voltage-gated channel auxiliary subunit alpha2delta 3","B2RPL6"
"8887-21","NUDC","nuclear distribution C, dynein complex regulator","Q5QP31"
"8888-33","SMIM9","small integral membrane protein 9","A6NGZ8"
"8889-5","CCPG1","cell cycle progression 1","Q9ULG6"
"8890-9","TMEM132B","transmembrane protein 132B","Q14DG7"
"8891-7","CPVL","carboxypeptidase vitellogenic like","A4D1A4"
"8892-14","PEAR1","platelet endothelial aggregation receptor 1","Q5VY43"
"8893-29","PARP1","poly(ADP-ribose) polymerase 1","B1ANJ4"
"8894-80","HNRNPAB","heterogeneous nuclear ribonucleoprotein A/B","D6RD18"
"8897-3","LRRC37A2","leucine rich repeat containing 37 member A2","A0A0G2JNC9"
"8898-19",NA,NA,NA
"8899-75","UGT1A8","UDP glucuronosyltransferase family 1 member A8","B2R8S3"
"8900-28","NEO1","neogenin 1","B7ZKM9"
"8901-40","YWHAG","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma","B3KNB4"
"8903-1","COX6C","cytochrome c oxidase subunit 6C","A0A024R9B7"
"8905-20","KCNMB3","potassium calcium-activated channel subfamily M regulatory beta subunit 3","Q9NPA1"
"8906-60","LRTM2","leucine rich repeats and transmembrane domains 2","A7E2U6"
"8907-11","UGT2A1","UDP glucuronosyltransferase family 2 member A1 complex locus","A0A140T9Z0"
"8908-14","KCNE5","potassium voltage-gated channel subfamily E regulatory subunit 5","Q53FI0"
"8909-77","GNPDA1","glucosamine-6-phosphate deaminase 1","A8K3S1"
"8913-22","SIGLEC11","sialic acid binding Ig like lectin 11","Q96RL6"
"8916-32","STIM1","stromal interaction molecule 1","A0A8V8TMG5"
"8918-64","PTK2B","protein tyrosine kinase 2 beta","D3DST0"
"8921-139","PABPN1","poly(A) binding protein nuclear 1","G3V4T2"
"8922-4","TMCC3","transmembrane and coiled-coil domain family 3","G3V207"
"8923-94","GALNT16","polypeptide N-acetylgalactosaminyltransferase 16","Q4KMG3"
"8924-55","CALY","calcyon neuron specific vesicular protein","Q5VWX3"
"8925-25","RRM2B","ribonucleotide reductase regulatory TP53 inducible subunit M2B","H0YAV1"
"8927-6","STMP1","short transmembrane mitochondrial protein 1","E0CX11"
"8929-7","BDP1","BDP1 general transcription factor IIIB subunit","A6H8Y1"
"8931-124","G0S2","G0/G1 switch 2","P27469"
"8932-1","ENTPD6","ectonucleoside triphosphate diphosphohydrolase 6","B4E1D1"
"8933-84","MEF2C","myocyte enhancer factor 2C","B2R681"
"8935-22","ABCC6","ATP binding cassette subfamily C member 6","O95255"
"8941-4","NLGN3","neuroligin 3","X5D7L6"
"8942-2","MRPL21","mitochondrial ribosomal protein L21","A6NKU0"
"8944-42",NA,NA,NA
"8945-7","ABRAXAS2","abraxas 2, BRISC complex subunit","B4DKR2"
"8946-38","NR1H4","nuclear receptor subfamily 1 group H member 4","B2R7F1"
"8947-268",NA,NA,NA
"8948-13","ADAM19","ADAM metallopeptidase domain 19","Q8TBU7"
"8949-3",NA,NA,NA
"8950-4","CLCA2","chloride channel accessory 2","A8K2T3"
"8951-162","CSPG4","chondroitin sulfate proteoglycan 4","D3DW77"
"8952-65","CSF3","colony stimulating factor 3","A8MXR7"
"8953-47","HDGF","heparin binding growth factor","B7Z958"
"8954-30","MAP4K1","mitogen-activated protein kinase kinase kinase kinase 1","K7ER95"
"8955-60","GLT8D1","glycosyltransferase 8 domain containing 1","Q68CQ7"
"8956-96","SCARF2","scavenger receptor class F member 2","E5RFB8"
"8957-72","ERLEC1","endoplasmic reticulum lectin 1","A0A8I5KWJ1"
"8958-51","CHL1","cell adhesion molecule L1 like","B3KX75"
"8959-61","ADAM17","ADAM metallopeptidase domain 17","Q53RS1"
"8960-3","ERAP2","endoplasmic reticulum aminopeptidase 2","B2R769"
"8962-48","RPS6KB1","ribosomal protein S6 kinase B1","B4DDM0"
"8963-8","VTI1B","vesicle transport through interaction with t-SNAREs 1B","A8K6M4"
"8964-14",NA,NA,NA
"8967-6","DUSP26","dual specificity phosphatase 26","D3DSV8"
"8969-49","CD14","CD14 molecule","B2R888"
"8970-9","RIPK2","receptor interacting serine/threonine kinase 2","A0A0S2Z4Z8"
"8971-9","NRXN1","neurexin 1","A0A0R4J2G7"
"8973-23","FCRL4","Fc receptor like 4","Q96PJ3"
"8974-172","COL15A1","collagen type XV alpha 1 chain","P39059"
"8975-26","CNOT9","CCR4-NOT transcription complex subunit 9","B2RE59"
"8976-13","B4GALNT1","beta-1,4-N-acetyl-galactosaminyltransferase 1","A0A1Z4EAV6"
"8978-30","MAP4K3","mitogen-activated protein kinase kinase kinase kinase 3","A8K602"
"8979-1",NA,NA,NA
"8980-19","CD200R1L","CD200 receptor 1 like","Q6Q8B3"
"8982-65","THBS3","thrombospondin 3","F5H4Z8"
"8983-7","GOLM1","golgi membrane protein 1","B3KNK9"
"8984-28","LRCH4","leucine rich repeats and calponin homology domain containing 4","H7C5D9"
"8985-13","SERAC1","serine active site containing 1","A0A2R8Y3S0"
"8986-2","PHGDH","phosphoglycerate dehydrogenase","B2RD08"
"8989-40","SCUBE1","signal peptide, CUB domain and EGF like domain containing 1","Q5R336"
"8990-42","ATP1B3","ATPase Na+/K+ transporting subunit beta 3","B7Z1N7"
"8991-115","FCRL4","Fc receptor like 4","Q96PJ3"
"8992-1","CEMIP2","cell migration inducing hyaluronidase 2","Q9UHN6"
"8993-151","RIPK2","receptor interacting serine/threonine kinase 2","A0A0S2Z4Z8"
"8994-65","SLAMF8","SLAM family member 8","Q9P0V8"
"8997-4","NPTXR","neuronal pentraxin receptor","A0A1X7SBT7"
"8998-15","HS3ST4","heparan sulfate-glucosamine 3-sulfotransferase 4","Q5QI42"
"8999-19","CEACAM3","CEA cell adhesion molecule 3","P40198"
"9000-177","SLC3A1","solute carrier family 3 member 1","A0A0S2Z4E1"
"9002-36","SERPINA11","serpin family A member 11","B2RV07"
"9003-99","MARCO","macrophage receptor with collagenous structure","B4DLJ6"
"9004-24","LDLRAD4","low density lipoprotein receptor class A domain containing 4","A8K6A9"
"9005-16","PLXNA1","plexin A1","Q9UIW2"
"9008-6","PRRG1","proline rich and Gla domain 1","B2R7A3"
"9010-3",NA,NA,NA
"9012-1","PRPF6","pre-mRNA processing factor 6","B2RAR5"
"9013-60","NTN1","netrin 1","E9KL51"
"9014-18","TMEM25","transmembrane protein 25","Q86YD3"
"9015-1","PRG3","proteoglycan 3, pro eosinophil major basic protein 2","Q9Y2Y8"
"9016-12","NR1H2","nuclear receptor subfamily 1 group H member 2","P55055"
"9017-58","LCT","lactase","P09848"
"9018-38","PCDH10","protocadherin 10","Q14DV7"
"9021-1","HAVCR1","hepatitis A virus cellular receptor 1","F1CME6"
"9022-49","DEFB132","defensin beta 132","B2RP72"
"9023-9",NA,NA,NA
"9025-5","AHSP","alpha hemoglobin stabilizing protein","Q549J4"
"9026-40","BTNL8","butyrophilin like 8","A4QMZ8"
"9027-10","NLGN2","neuroligin 2","Q8NFZ4"
"9028-5","MTPAP","mitochondrial poly(A) polymerase","D3DRX0"
"9030-56","NDUFAF8","NADH:ubiquinone oxidoreductase complex assembly factor 8","A1L188"
"9032-30","ROS1","ROS proto-oncogene 1, receptor tyrosine kinase","Q5H8Y1"
"9035-2","MXI1","MAX interactor 1, dimerization protein","A0A0S2Z3X5"
"9037-1","STX18","syntaxin 18","Q9P2W9"
"9038-12","JTB","jumping translocation breakpoint","O76095"
"9039-47","TOR1AIP1","torsin 1A interacting protein 1","J3KN66"
"9040-144","EPDR1","ependymin related 1","Q96J80"
"9043-7","TFIP11","tuftelin interacting protein 11","O95908"
"9044-1","CNTNAP5","contactin associated protein family member 5","A0A804HKY0"
"9045-3","SLC27A2","solute carrier family 27 member 2","Q53GS2"
"9046-46",NA,NA,NA
"9049-2","SLC16A3","solute carrier family 16 member 3","B3KXG8"
"9050-170","RSRP1","arginine and serine rich protein 1","A8K917"
"9051-13","IL32","interleukin 32","F8W1V1"
"9053-16","CRIP2","cysteine rich protein 2","P52943"
"9054-8",NA,NA,NA
"9055-81","MYZAP","myocardial zonula adherens protein","D2E9U7"
"9057-19","ADRM1","ADRM1 26S proteasome ubiquitin receptor","A0A087WX59"
"9058-1","TIMM21","translocase of inner mitochondrial membrane 21","A8K1K8"
"9059-14","RAPGEF5","Rap guanine nucleotide exchange factor 5","A0A0S2Z561"
"9060-27","IGSF9B","immunoglobulin superfamily member 9B","G5EA26"
"9061-3","ARHGEF10","Rho guanine nucleotide exchange factor 10","A0A2X0U4L4"
"9063-9",NA,NA,NA
"9064-12","RNF215","ring finger protein 215","A6NEL1"
"9065-28","TXLNA","taxilin alpha","D3DPP6"
"9067-152",NA,NA,NA
"9068-17","JAKMIP3","Janus kinase and microtubule interacting protein 3","A0A590UJS0"
"9070-1","C17orf67","chromosome 17 open reading frame 67","Q0P5P2"
"9073-35",NA,NA,NA
"9074-6","FAXDC2","fatty acid hydroxylase domain containing 2","B4DIE1"
"9075-121","MINAR1","membrane integral NOTCH2 associated receptor 1","A7MD43"
"9076-25","PENK","proenkephalin","B2RC23"
"9077-10","MAN1A2","mannosidase alpha class 1A member 2","O60476"
"9078-207","SNTB1","syntrophin beta 1","A8K9E0"
"9080-1",NA,NA,NA
"9081-39","SLC30A3","solute carrier family 30 member 3","B4DXX8"
"9082-25","SEL1L2","SEL1L2 adaptor subunit of SYVN1 ubiquitin ligase","Q5TEA6"
"9083-35","SIRPA","signal regulatory protein alpha","A2A2E1"
"9086-95","SCGB2A1","secretoglobin family 2A member 1","O75556"
"9087-8","NHLRC3","NHL repeat containing 3","B2RTZ2"
"9088-20",NA,NA,NA
"9089-77","JPH3","junctophilin 3","F8W9A3"
"9090-9","SYTL4","synaptotagmin like 4","A8K973"
"9092-33","ANGPTL1","angiopoietin like 1","O95841"
"9094-5","CLEC4C","C-type lectin domain family 4 member C","B3KV04"
"9095-5","MTFR1","mitochondrial fission regulator 1","H0YBZ4"
"9096-80","IRAG2","inositol 1,4,5-triphosphate receptor associated 2","A0AVM2"
"9097-5","ELAPOR1","endosome-lysosome associated apoptosis and autophagy regulator 1","E9PB18"
"9099-19","SYT5","synaptotagmin 5","O00445"
"9100-32","C5orf46","chromosome 5 open reading frame 46","A8K038"
"9102-28","ZFYVE27","zinc finger FYVE-type containing 27","Q5T4F4"
"9106-87","LYSMD4","LysM domain containing 4","A6NII6"
"9107-59","ARMC10","armadillo repeat containing 10","Q8N2F6"
"9108-48",NA,NA,NA
"9110-2","SYT17","synaptotagmin 17","B4DJB2"
"9111-40","JPH4","junctophilin 4","A8K396"
"9114-84","UMODL1","uromodulin like 1","C9JCE6"
"9115-78","ADAMDEC1","ADAM like decysin 1","B7Z6V5"
"9116-28","HEPACAM2","HEPACAM family member 2","A8MVW5"
"9117-4","IL36G","interleukin 36 gamma","Q9NZH8"
"9118-7","PSD2","pleckstrin and Sec7 domain containing 2","D3DQD3"
"9121-28","FUT2","fucosyltransferase 2 (H blood group)","A0A7M4CF15"
"9122-8",NA,NA,NA
"9123-18","CBARP","CACN subunit beta associated regulatory protein","A0A140LJL2"
"9125-23","MASP1","MBL associated serine protease 1","F8W876"
"9126-171","NT5DC3","5'-nucleotidase domain containing 3","Q86UY8"
"9127-4","SLC26A5","solute carrier family 26 member 5","Q7Z7F4"
"9128-34","FLRT3","fibronectin leucine rich transmembrane protein 3","D3DW20"
"9168-31","CCL26","C-C motif chemokine ligand 26","A0N0Q5"
"9169-14","SUMO3","small ubiquitin like modifier 3","P55854"
"9170-24","IL17A","interleukin 17A","Q16552"
"9171-11","CSRP3","cysteine and glycine rich protein 3","A0A3B3ISZ2"
"9172-69","MMP8","matrix metallopeptidase 8","B4E0I2"
"9173-21","PGM1","phosphoglucomutase 1","B7Z6C2"
"9175-48","DSCAM","DS cell adhesion molecule","Q59GH3"
"9176-3","MUC1","mucin 1, cell surface associated","A5YRU8"
"9177-6","FAM3B","FAM3 metabolism regulating signaling molecule B","A8MTF8"
"9178-30","NRG1","neuregulin 1","A0A494C1F8"
"9180-6","IFNGR2","interferon gamma receptor 2","A0A0G2JLD7"
"9182-3","LRP1","LDL receptor related protein 1","Q07954"
"9183-7","IFNAR1","interferon alpha and beta receptor subunit 1","B2R6L9"
"9185-15","TFF1","trefoil factor 1","P04155"
"9187-2","HMGN1","high mobility group nucleosome binding domain 1","P05114"
"9188-119","CXCL9","C-X-C motif chemokine ligand 9","B2R4J7"
"9190-7","CD63","CD63 molecule","F8VZE2"
"9191-8","TFF2","trefoil factor 2","Q03403"
"9196-8","LGALS7","galectin 7","P47929"
"9197-4","LGALS9","galectin 9","J3QR96"
"9199-6","UBE2G2","ubiquitin conjugating enzyme E2 G2","P60604"
"9201-13","TAGLN2","transgelin 2","A0A384MTL2"
"9202-309","ATP5PO","ATP synthase peripheral stalk subunit OSCP","B2R4E2"
"9204-33","POMC","proopiomelanocortin","P01189"
"9207-60","CRYZL1","crystallin zeta like 1","A6NMA8"
"9211-19","SERPINF1","serpin family F member 1","A0A140VKF3"
"9212-22","CTSF","cathepsin F","A0A7I2V2K3"
"9213-24","FTCD","formimidoyltransferase cyclodeaminase","B9EGD0"
"9215-117","USP25","ubiquitin specific peptidase 25","Q9UHP3"
"9216-100","PLXNB2","plexin B2","A6QRH0"
"9218-7","FAS","Fas cell surface death receptor","A0A1B0QZF0"
"9219-70","NENF","neudesin neurotrophic factor","A1KYQ8"
"9220-7","EPHB3","EPH receptor B3","P54753"
"9221-6","ITPRIPL1","ITPRIP like 1","F5H1L8"
"9223-11","MANF","mesencephalic astrocyte derived neurotrophic factor","A8K878"
"9224-20","PRLR","prolactin receptor","B2R882"
"9226-6","TMUB2","transmembrane and ubiquitin like domain containing 2","B3KU81"
"9227-15","PDCD1","programmed cell death 1","A0A0M3M0G7"
"9229-9","CTRL","chymotrypsin like","P40313"
"9231-23","BPNT2","3'(2'), 5'-bisphosphate nucleotidase 2","Q6NVY7"
"9232-1","ROBO4","roundabout guidance receptor 4","B4DYV8"
"9233-71","TFPI2","tissue factor pathway inhibitor 2","A0A3B3IS67"
"9234-8","TWSG1","twisted gastrulation BMP signaling modulator 1","B2RE08"
"9235-3","PLXDC1","plexin domain containing 1","B2R7I8"
"9237-54","ACP2","acid phosphatase 2, lysosomal","B7Z552"
"9241-40","SIRPG","signal regulatory protein gamma","Q9P1W8"
"9242-11","BTC","betacellulin","A0A0S2Z3I5"
"9243-10","LYG1","lysozyme g1","Q53RV9"
"9244-27","PPT1","palmitoyl-protein thioesterase 1","A0A2C9F2P4"
"9245-1","KIR2DL4","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4","A0A0G2JNE8"
"9246-1",NA,NA,NA
"9248-36","MYDGF","myeloid derived growth factor","D6W628"
"9249-17","TMEM9","transmembrane protein 9","B1ALM6"
